Code,Name,Alias,Country
KUK,Geological Survey Department of Ghana,,Ghana
LAO,Large Aperture Seismic Array,,U.S.A.
LDG,Laboratoire de Détection et de Géophysique/CEA,,France
LDN,University of Western Ontario,,Canada
LDO,Lamont-Doherty Earth Observatory,,U.S.A.
LED,Landeserdbebendienst Baden-Württemberg,LEDBW,Germany
LEDBW,Landeserdbebendienst Baden-Württemberg,,Germany
LEM,Lembang Station,DJA,Indonesia
LER,Besucherbergwerk Binweide Station,,Germany
LIB,Tripoli,,Libya
LIC,Station Géophysique de Lamto,,Ivory Coast
LIM,Lima,ARE,Peru
LIS,Instituto de Meteorologia,,Portugal
LIT,Geological Survey of Lithuania,,Lithuania
LJU,Slovenian Environment Agency,,Slovenia
LPA,Universidad Nacional de La Plata,,Argentina
LPB,Unknown Historical Agency,,
LPZ,Observatorio San Calixto,,Bolivia
LRA,Unknown Historical Agency,,
LRSM,Long Range Seismic Measurements Project,,
LSZ,Geological Survey Department of Zambia,,Zambia
LTX,Lajitas Seismic Array,,U.S.A.
LVSN,Latvian Seismic Network,,Latvia
LVV,Department of Seismic Activity of Carpathian area (Lviv),,Ukraine
LWI,Centre de Geophysique du Zaire,,Democratic Republic of the Congo
MAL,Malaga,MDD,Spain
MAN,Philippine Institute of Volcanology and Seismology,,Philippines
MASS,Marcelo Assumpcao,,Brazil
MAT,The Matsushiro Seismological Observatory,,Japan
MATSS,,,USSR
MCO,Macao Meteorological and Geophysical Bureau,,"Macao, China"
MCSM,Main Centre for Special Monitoring,,Ukraine
MDD,Instituto Geográfico Nacional,,Spain
MED_RCMT,MedNet Regional Centroid - Moment Tensors,,Italy
MELT,Mantle Electromagnetic and Tomography Experiment,,U.S.A.
MER,Merida,TAC,Mexico
MERI,Maharashta Engineering Research Institute,,India
MES,Messina Seismological Observatory,,Italy
MEX,Instituto de Geofísica de la UNAM,,Mexico
MIRAS,Mining Institute of the Ural Branch of the Russian Academy of Sciences,,Russia
MKY,Unknown Historical Agency,,
MLR,Muntele Rosu Station,,Romania
MNH,Institut für Angewandte Geophysik der Universitat Munchen,,Germany
MOLD,Institute of Geophysics and Geology,,Moldova
MOS,Geophysical Survey of Russian Academy of Sciences,,Russia
MOZ,Direccao Nacional de Geologia,,Mozambique
MOZAR,,,Mozambique
MRB,Institut Cartogràfic i Geològic de Catalunya,,Spain
MROB,Geophysikalisches Observatorium - Rosenbuhl,,Germany
MSI,Messina Seismological Observatory,,Italy
MSSP,"Micro Seismic Studies Programme, PINSTECH",,Pakistan
MSUGS,"Michigan State University, Department of Geological Sciences",,U.S.A.
MUM,Manipur University,,India
MUN,Mundaring Observatory,,Australia
MVOV,Montserrat Volcano Observatory,,Montserrat
MZEK,Geophysikalisches Observatorium - Zeckenberg,,Germany
NAG,Unknown Historical Agency,,
NAI,University of Nairobi,,Kenya
NAM,The Geological Survey of Namibia,,Namibia
NAN,Nanking Station,BJI,China
NANGA,Nanga Parbat Seismic Experiment,,U.S.A.
NAO,Stiftelsen NORSAR,,Norway
NCEDC,Northern California Earthquake Data Center,,U.S.A.
NDI,National Centre for Seismology of the Ministry of Earth Sciences of India,,India
NEIC,National Earthquake Information Center,,U.S.A.
NEIS,National Earthquake Information Service,NEIC,U.S.A.
NERS,"North Eastern Regional Seismological Centre, Magadan, GS RAS",,Russia
NEU,Neuchatel Station,ZUR,Switzerland
NIC,Cyprus Geological Survey Department,,Cyprus
NIED,National Research Institute for Earth Science and Disaster Resilience,,Japan
NKSZ,,,USSR
NNC,National Nuclear Center,,Kazakhstan
NORI,Geophysikalisches Observatorium - Nordlinger Ries,,Germany
NORS,"North Ossetia (Alania) Branch, Geophysical Survey, Russian Academy of Sciences",,Russia
NOU,IRD Centre de Nouméa,,New Caledonia
NPO,North Pole Environmental Observatory,,U.S.A.
NRA0,Noress Array,,Norway
NSRDA,"Centre for Geodesy & Geodynamics, Nat'l Space Research & Developmentment Agency",,Nigeria
NSSC,National Syrian Seismological Center,,Syria
NSSP,National Survey of Seismic Protection,,Armenia
NUR,Nurmijarvi Station,HEL,Finland
OAX,Oaxaca,TAC,Mexico
OBER,Geophysikalisches Observatorium - Oberstdorf,,Germany
OBM,"Institute of Astronomy and Geophysics, Mongolian Academy of Sciences",,Mongolia
OGA,Geophysikalisches Observatorium - Obergurgl/A,,Germany
OGAUC,Centro de Investigação da Terra e do Espaço da Universidade de Coimbra,,Portugal
OGSO,Ohio Geological Survey,,U.S.A.
OGU,Observatorio Geofísico del Uruguay,,Uruguay
OMAN,Sultan Qaboos University,,Oman
ORF,Orfeus Data Center,,Netherlands
OSA,"Osa Peninsula Project, Costa Rica",,U.S.A.
OSPL,Observatorio Sismologico Politecnico Loyola,,Dominican Republic
OSS,Ova Spin,,Switzerland
OSUB,Osservatorio Sismologico Universita di Bari,,Italy
OSUNB,Observatory Seismological of the University of Brasilia,,Brazil
OTT,"Canadian Hazards Information Service, Natural Resources Canada",,Canada
OXD,Unknown Historical Agency,,
PAL,Palisades,,U.S.A.
PANAMA97,Panama Canal Seismicity Study,,U.S.A.
PAS,California Institute of Technology,,U.S.A.
PAV,Pavia,ROM,Italy
PDA,Universidade dos Açores,,Portugal
PDE,Preliminary Determination of Epicentres,NEIC,U.S.A.
PDG,Institute of Hydrometeorology and Seismology of Montenegro,,Montenegro
PEK,Peking,BJI,China
PFO,Pinyon Flat Observatory,,U.S.A.
PGC,Pacific Geoscience Centre,,Canada
PIN,Pinedale Seismic Array,,U.S.A.
PISCO,Proyecto de Investigacion Sismologica de la Cordillera Occidental,,Germany
PIST,P. Stahl,,France
PIT,Unknown Historical Agency,,
PJWWP,"Private Observatory of Pawel Jacek Wiejacz, D.Sc.",,Poland
PLV,"Institute of Geophysics, Viet Nam Academy of Science and Technology",,Viet Nam
PMEL,Pacific seismicity from hydrophones,,U.S.A.
PMG,Port Moresby Geophysical Observatory,,Papua New Guinea
PMR,"Alaska Tsunami Warning Center,",,U.S.A.
PNG,Unknown Historical Agency,,
PNNL,Pacific Northwest National Laboratory,,U.S.A.
PNSN,Pacific Northwest Seismic Network,,U.S.A.
POO,Poona Observatory,NDI,India
PPT,Laboratoire de Géophysique/CEA,,French Polynesia
PRA,"Institute of Geophysics, Czech Academy of Sciences",,Czech Republic
PRE,Council for Geoscience,,South Africa
PRT,Observatorio San Domenico,,Italy
PRU,"Institute of Geophysics, Czech Academy of Sciences",,Czech Republic
PTO,Instituto Geofísico da Universidade do Porto,,Portugal
PTWC,Pacific Tsunami Warning Center,,U.S.A.
PUL,Unknown Historical Agency,,
PUNA,"Puna Plateau, Argentina and Northern Chile Experiment",,Germany
PUS,Unknown Historical Agency,,
PYA,Unknown Historical Agency,,
QCP,Manila Observatory,,Philippines
QDM,Queensland Department of Mines,,Australia
QUE,Pakistan Meteorological Department,,Pakistan
QUI,Escuela Politécnica Nacional,,Ecuador
RAB,Rabaul Volcanological Observatory,,Papua New Guinea
RBA,Université Mohammed V,,Morocco
RDP,Unknown Historical Agency,,
REN,MacKay School of Mines,,U.S.A.
REY,Icelandic Meteorological Office,,Iceland
RHSSO,"Republic Hydrometeorological Service, Seismological Observatory, Banja Luka",,Bosnia and Herzegovina
RIPT,Research Inst. of Pulse Technique,,Russia
RISSC,Laboratory of Research on Experimental and Computational Seimology,,Italy
RIV,Riverview Observatory,,Australia
RJOB,Geophysikalisches Observatorium - Jochberg,,Germany
RMIT,Royal Melbourne Institute of Technology,,Australia
RNON,Geophysikalisches Observatorium - Staufen-Nonn,,Germany
ROC,Odenbach Seismic Observatory,,U.S.A.
ROM,Istituto Nazionale di Geofisica e Vulcanologia,,Italy
ROTZ,Geophysikalisches Observatorium - Rotzenmuhle,,Germany
RRLJ,Regional Research Laboratory Jorhat,,India
RSMAC,Red Sísmica Mexicana de Apertura Continental,,Mexico
RSNC,Red Sismológica Nacional de Colombia,,Colombia
RSPR,Red Sísmica de Puerto Rico,,U.S.A.
RYD,King Saud University,,Saudi Arabia
SAN,Santiago,GUC,Chile
SAPSE,Southern Alps Passive Seismic Experiment,,New Zealand
SAR,Sarajevo Seismological Station,,Bosnia and Herzegovina
SARA,SARA Electronic Instrument s.r.l.,,Italy
SBDV,,,USSR
SCB,Observatorio San Calixto,,Bolivia
SCE,Geophysikalisches Observatorium - Schlegeis/Austria,,Germany
SCEDC,Southern California Earthquake Data Center,,U.S.A.
SCSIO,"Key Laboratory of Ocean and Marginal Sea Geology, South China Sea",,China
SDD,Universidad Autonoma de Santo Domingo,,Dominican Republic
SEA,Geophysics Program AK-50,,U.S.A.
SEDA,Seismic Exploration of the Deep Altiplano,,U.S.A.
SEPA,Seismic Experiment in Patagonia and Antarctica,,U.S.A.
SET,Setif Observatory,,Algeria
SFS,Real Instituto y Observatorio de la Armada,,Spain
SGS,Saudi Geological Survey,,Saudi Arabia
SHI,Shiraz Observatory,,Iran
SHIDE,Shide Circulars,,
SHL,Central Seismological Observatory,,India
SIGU,"Subbotin Institute of Geophysics, National Academy of Sciences",,Ukraine
SIK,Seismic Institute of Kosovo,,
SIO,Scripps Institution of Oceanography,,U.S.A.
SJA,Instituto Nacional de Prevención Sísmica,,Argentina
SJP,Unknown Historical Agency,,
SJS,Instituto Costarricense de Electricidad,,Costa Rica
SKHL,"Sakhalin Experimental and Methodological Seismological Expedition, GS RAS",,Russia
SKL,Sakhalin Complex Scientific Research Institute,,Russia
SKO,Seismological Observatory Skopje,,North Macedonia
SLC,Salt Lake City,,U.S.A.
SLM,Saint Louis University,,U.S.A.
SLUB,Seismological Laboratory of University of Basrah,,Iraq
SMI,Smithsonian Institution,,U.S.A.
SNET,Servicio Nacional de Estudios Territoriales,,El Salvador
SNM,New Mexico Institute of Mining and Technology,,U.S.A.
SNSN,Saudi National Seismic Network,,Saudi Arabia
SOC,Unknown Historical Agency,,
SOD,Sodankyla Seismological Station,HEL,Finland
SOF,"National Institute of Geophysics, Geology and Geography",,Bulgaria
SOMC,Seismological Observatory of Mount Cameroon,,Cameroon
SOME,Seismological Experimental Methodological Expedition,,Kazakhstan
SPA,USGS - South Pole,,Antarctica
SPASE,Southwest Pacific Seismic Experiment,,U.S.A.
SPC,Skalnate-Pleso Seismological Station,BRA,Slovakia
SPGM,Service de Physique du Globe,RBA,Morocco
SPITAK,,,Armenia
SRI,Stanford Research Institute,,U.S.A.
SSN,Sudan Seismic Network,,Sudan
SSNC,Servicio Sismológico Nacional Cubano,,Cuba
SSS,Centro de Estudios y Investigaciones Geotecnicas del San Salvador,,El Salvador
STK,Stockholm Seismological Station,HFS,Sweden
STL,Santa Lucia Seismological Station,GUC,Chile
STR,EOST / RéNaSS,,France
STU,Stuttgart Seismological Station,LEDBW,Germany
SUC,Unknown Historical Agency,,
SUS,Unknown Historical Agency,,
SVA,Department of Mineral Resources,,Fiji
SVE,Unknown Historical Agency,,
SVSA,Sistema de Vigilância Sismológica dos Açores,,Portugal
SWE,,,
SYKES,Sykes Catalogue of earthquakes 1950 onwards,,
SYO,National Institute of Polar Research,,Japan
SZGRF,Seismologisches Zentralobservatorium Gräfenberg,,Germany
TAB,Tabriz Seismological Observatory,,Iran
TAC,Estación Central de Tacubaya,,Mexico
TAN,Antananarivo,,Madagascar
TANZANIA,Tanzania Broadband Seismic Experiment,,U.S.A.
TAP,Central Weather Bureau (CWB),,
TAS,Unknown Historical Agency,,
TAU,University of Tasmania,,Australia
TEH,Tehran University,,Iran
TEIC,Center for Earthquake Research and Information,,U.S.A.
THE,"Department of Geophysics, Aristotle University of Thessaloniki",,Greece
THR,International Institute of Earthquake Engineering and Seismology (IIEES),,Iran
TIENSHAN,Tien Shan Continental Dynamics,,U.S.A.
TIF,Institute of Earth Sciences/ National Seismic Monitoring Center,,Georgia
TIR,"Institute of Geosciences, Polytechnic University of Tirana",,Albania
TOK,Tokyo Observatory,JMA,Japan
TOL,Toledo Observatory,MDD,Spain
TRI,Istituto Nazionale di Oceanografia e di Geofisica Sperimentale (OGS),,Italy
TRN,The Seismic Research Centre,,Trinidad and Tobago
TTG,Titograd Seismological Station,PDG,Montenegro
TUC,Unknown Historical Agency,,
TUL,Oklahoma Geological Survey,,U.S.A.
TUN,Institut National de la Météorologie,,Tunisia
TVA,Tennessee Valley Authority,,U.S.A.
TXNET,"Texas Seismological Network, University of Texas at Austin",,U.S.A.
TZN,University of Dar Es Salaam,,Tanzania
UAF,Department of Geosciences,,U.S.A.
UATDG,"The University of Arizona, Department of Geosciences",,U.S.A.
UAV,Red Sismológica de Los Andes Venezolanos,,Venezuela
UCB,"University of Colorado, Boulder",,U.S.A.
UCC,Royal Observatory of Belgium,,Belgium
UCDES,Department of Earth Sciences,,United Kingdom
UCR,"Sección de Sismología, Vulcanología y Exploración Geofísica",,Costa Rica
UCSC,Earth & Planetary Sciences,,U.S.A.
UESG,School of Geosciences,,United Kingdom
UGN,Institute of Geonics AS CR,,Czech Republic
ULE,University of Leeds,,United Kingdom
UNAH,Universidad Nacional Autonoma de Honduras,,Honduras
UNK,Unknown source,,
UNKOWN,Unknown source,,
UNSL,Universidad Nacional de San Luis,,Argentina
UPA,Universidad de Panama,,Panama
UPIES,Institute of Earth- and Environmental Science,,Germany
UPP,University of Uppsala,,Sweden
UPSL,"University of Patras, Department of Geology",,Greece
UREES,Department of Earth and Environmental Science,,U.S.A.
USAEC,United States Atomic Energy Commission,DOE,U.S.A.
USAF,US Air Force Technical Applications Center,,U.S.A.
USBR,US Bureau of Reclamation,,U.S.A.
USCGS,United States Coast and Geodetic Survey,NEIC,U.S.A.
USGS,United States Geological Survey,,U.S.A.
USOES,University of Southampton Ocean and Earth Science,,United Kingdom
UTEP,Department of Geological Sciences,,U.S.A.
UUSS,The University of Utah Seismograph Stations,,U.S.A.
UVC,Universidad del Valle,,Colombia
UWMDG,"University of Wisconsin-Madison, Department of Geoscience",,U.S.A.
VAO,Instituto Astronomico e Geofísico,,Brazil
VIE,Zentralanstalt für Meteorologie und Geodynamik (ZAMG),,Austria
VKMS,"Lab. of Seismic Monitoring, Voronezh region, GSRAS & Voronezh State University",,Russia
VLA,Vladivostok Seismological Station,MOS,Russia
VRAC,Vranov Seismological Station,,Czech Republic
VSI,University of Athens,,Greece
VUW,Victoria University of Wellington,,New Zealand
WAR,"Institute of Geophysics, Polish Academy of Sciences",,Poland
WASN,,,U.S.A.
WBNET,"Institute of Geophysics, Czech Academy of Sciences",,Czech Republic
WEL,Institute of Geological and Nuclear Sciences,,New Zealand
WES,Weston Observatory,,U.S.A.
WET,Geophysikalisches Observatorium - Wettzell,,Germany
WMO,Wichita Mountains Observatory,NEIS,U.S.A.
WOODLARK,"Woodlark-D,Entrecasteaux Rift, Papua New Guinea",,U.S.A.
WUSTL,Washington University Earth and Planentary Sciences,,U.S.A.
X,Unknown Historical Agency,,
YAL,Unknown Historical Agency,,
YARS,"Yakutiya Regional Seismological Center, GS SB RAS",,Russia
ZAG,Seismological Survey of the Republic of Croatia,,Croatia
ZEMSU,,,USSR
ZKW,Unknown Historical Agency,,
ZON,Universidad Nacional de San Juan,,Argentina
ZSC,Zose Seismological Station,BJI,China
ZUR,Swiss Seismological Service (SED),,Switzerland
ZUR_RMT,Zurich Moment Tensors,,Switzerland
